#name=My Vocab N4
#description=My JLPT N4
JP;JP_KANA;RU
直ぐに;すぐに;сразу, немедленно, скоро
;スクリーン;экран
凄い;すごい;страшный, ужасный, поразительный, удивительный, круто!
;すっかり;совсем, совершенно, полностью
;ずっと;гораздо, больше, дальше, все время, постоянно
捨てる;すてる;бросать, выбрасывать, забрасывать
;ステレオ;стерео
砂;すな;песок, песчинка
素晴らしい;すばらしい;замечательный, великолепный, изумительный
滑る;すべる;скользить, быть скользким, кататься на коньках
隅・角;すみ;угол (внутренний)
済む;すむ;оканчиваться, обходиться, улаживаться
掏摸;すり;карманник, воришка, мелкое воровство
;すると;ну, значит, и вот…
~製;せい;сделано в…
生活（する）;せいかつ（する）;жизнь, существование, условия жизни, быт
政治;せいじ;политика
西洋;せいよう;Запад
世界;せかい;мир, свет
席;せき;место
説明;せつめい;объяснение
背中;せなか;спина
是非;ぜひ;непременно, обязательно, во что бы то ни стало
世話（する）;せわ（する）;услуга, помощь, забота, посредничество, рекомендация
線;せん;линия
全然;ぜんぜん;совсем, совершенно, нисколько (с отриц.)
戦争（する）;せんそう（する）;война
先輩;せんぱい;старший товарищ (в школе, на работе)
専門;せんもん;специальность
;そう;так, таким образом
相談（する）;そうだん（する）;беседа, совещание, совет, консультация
育てる;そだてる;растить, воспитывать
卒業（する）;そつぎょう（する）;окончание учебного заведения
祖父;そふ;дедушка
祖母;そぼ;бабушка
其れで;それで;поэтому, из-за этого
其れに;それに;к тому же…
;それはいけませんね;так нельзя, так не пойдет, нехорошо
其れ程;それほど;в такой степени
徐々;そろそろ;потихоньку, скоро
;そんな;такой
;そんなに;так
~代;だい;суф платы за ч-л
退院（する）;たいいん（する）;выписываться из больницы
大学生;だいがくせい;студент
大事;だいじ;важный
大体;だいたい;в общем, в основном, в целом
;タイプ;тип
大分・だいぶん;だいぶ;(довольно) много, очень, весьма, значительно
台風;たいふう;тайфун
倒れる;たおれる;падать, опрокидываться
;だから;поэтому
確か;たしか;достоверный, несомненный, наверняка, точно
足す;たす;прибавлять, добавлять
~出す;だす;неожиданно начинать делать ч-л
訪ねる;たずねる;посещать, навещать
尋ねる;たずねる;спрашивать, разыскивать
只今;ただいま;сейчас, только что, я дома! Я вернулся!
正しい;ただしい;правильный, честный
畳;たたみ;циновка татами
立てる;たてる;ставить, составлять
建てる;たてる;строить
例えば;たとえば;например
棚;たな;полка
楽しみ;たのしみ;удовольствие
偶に;たまに;изредка, редко
為;ため;для, из-за
駄目;だめ;непригодный, неудачный, напрасный, нельзя
足りる;たりる;хватать, быть достаточным
男性;だんせい;мужской пол
暖房;だんぼう;отопление
血;ち;кровь
小さな;ちいさな;маленький
力;ちから;сила, энергия
;ちっとも;нисколько, ничуть (с отриц.)
~ちゃん;ちゃん;ласковый суффикс к именам
注意（する）;ちゅうい（する）;внимание, осторожность
中学校;ちゅうがっこう;средняя школа
注射（する）;ちゅうしゃ（する）;укол, инъекция
駐車場;ちゅうしゃじょう;стоянка, парковка
地理;ちり;география
捕まえる;つかまえる;схватить, арестовать, задержать
月;つき;луна, месяц
点く;つく;зажигаться, загораться
付ける;つける;прикреплять, накладывать, посыпать, поливать, следить за к-л
漬ける;つける;солить, мариновать
都合;つごう;обстоятельство, условия, причина, удобство
伝える;つたえる;передавать (информацию)
続く;つづく;продолжаться, следовать
続ける;つづける;продолжать
包む;つつむ;обертывать, заворачивать, покрывать
妻;つま;жена
爪;つめ;ногти, когти, копыто, клешня
積もり;つもり;намерение, цель, расчет
積もる;つもる;накапливаться, лежать (о снеге), рассчитывать, прикидывать
釣る;つる;ловить рыбу, заманивать
連れる;つれる;брать с собой
丁寧;ていねい;вежливый
;テキスト;текст
適当;てきとう;подходящий, уместный
出来る;できる;быть возможным, мочь, быть сделанным, появляться
出来るだけ;できるだけ;насколько возможно, по мере возможности
手伝う;てつだう;помогать в ч-л
;テニスコート;теннисный корт
手袋;てぶくろ;перчатки
手前;てまえ;эта сторона, перед…, Я (скромно), ты (грубо)
手元;てもと;под рукой, вблизи, при себе
寺;てら;буддийский храм
点;てん;точка, балл, пятно, дефект, пункт
店員;てんいん;продавец
天気予報;てんきよほう;прогноз погоды
電灯;でんとう;электрический свет (лампы)
電報;でんぽう;телеграмма
展覧会;てんらんかい;выставка
道具;どうぐ;инструменты, принадлежности
;とうとう;и так далее, и тому подобное, и другие
動物園;どうぶつえん;зоопарк
遠く;とおく;далеко
通り;とおり;улица, дорога, проезд
通る;とおる;проходить, проезжать, пронизывать
~時;とき;когда…
特に;とくに;особенно, в особенности, в частности
特別;とくべつ;особенный, специальный, исключительный
床屋;とこや;парикмахер, парикмахерская
年;とし;год, возраст
途中;とちゅう;по пути, по дороге
特急;とっきゅう;экспресс (поезд)
何方;どっち;где, который, кто (разг.)
届ける;とどける;доставлять, заявлять, уведомлять
泊まる;とまる;оставаться на ночь
止める;とめる;останавливать
取り替える;とりかえる;менять, заменять, обменивать
泥棒;どろぼう;вор, воровство
直す;なおす;лечить, чинить, исправлять
直る;なおる;поправляться, исправляться, выздоравливать
治る;なおる;поправляться, исправляться, выздоравливать
中々;なかなか;весьма, очень, с отриц никак
泣く;なく;плакать
無くす;なくす;лишаться, терять
無くなる;なくなる;кончаться, быть потерянным
亡くなる;なくなる;умирать, скончаться
投げる;なげる;бросать, кидать, швырять
為さる;なさる;делать
何故;なぜ;почему?
鳴る;なる;звучать, быть широко известным
成るべく・成る可く;なるべく;по возможности, насколько возможно
成程・成る程;なるほど;в самом деле, действительно, и впрямь
慣れる;なれる;привыкать, приучаться
匂い;におい;запах, аромат
苦い;にがい;горький
~難い;にくい;трудно…
逃げる;にげる;убежать, бежать, избегать
日記;にっき;дневник
入院（する）;にゅういん（する）;госпитализация
入学（する）;にゅうがく（する）;поступление в школу или университет
似る;にる;быть похожим
人形;にんぎょう;кукла
盗む;ぬすむ;воровать
塗る;ぬる;красить, мазать, штукатурить
濡れる;ぬれる;промокать, намокать
値段;ねだん;цена, стоимость
熱;ねつ;жар, пыл, температура, горячность, страсть
熱心;ねっしん;пыл, рвение, энтузиазм
眠い;ねむい;сонный
眠る;ねむる;спать
残る;のこる;оставаться, сохраняться
喉;のど;горло
乗り換える;のりかえる;пересаживаться
乗り物;のりもの;транспортное средство
葉;は;лист, листва
場合;ばあい;случай, обстоятельства
~倍;ばい;удвоенный, с числом в …раз
拝見（する）;はいけん（する）;смотреть, видеть (скромно о себе)
歯医者;はいしゃ;стоматолог, зубной врач
;ばかり;(суф. числ.) примерно, около
運ぶ;はこぶ;перевозить, продвигаться вперед
始める;はじめる;начинать
筈;はず;должен, должно быть
恥ずかしい;はずかしい;стыдно
発音;はつおん;произношение
;はっきり;ясно, отчетливо
花見;はなみ;любование цветами
払う;はらう;платить
番組;ばんぐみ;телепередача
反対;はんたい;протест, контраст, противоположность
火;ひ;огонь
日;ひ;солнце, день
冷える;ひえる;остывать, зябнуть, мерзнуть
引き出し;ひきだし;выдвижной ящик
髭;ひげ;усы, борода
飛行場;ひこうじょう;аэродром
久し振り;ひさしぶり;спустя долгое время
美術館;びじゅつかん;музей изобразительных искусств
非常に;ひじょうに;чрезвычайно, необыкновенно
吃驚する;びっくりする;изумляться, быть испуганным
引っ越す;ひっこす;переезжать
必要;ひつよう;необходимость
酷い;ひどい;жестокий, несправедливый, ужасный
開く;ひらく;открывать, учреждать, основывать, осваивать
;ビル;здание
昼間;ひるま;дневное время, днём
昼休み;ひるやすみ;перерыв на обед
拾う;ひろう;находить, подбирать
増える;ふえる;увеличиваться, прибавляться, расти
深い;ふかい;глубокий
複雑;ふくざつ;сложный, запутанный
復習;ふくしゅう;повторение
普通;ふつう;обычный, простой, обычно, как правило
葡萄;ぶどう;виноград
太る;ふとる;толстеть
布団;ふとん;футон
舟・船;ふね;корабль, лодка
不便;ふベん;неудобный
踏む;ふむ;наступать ногой, топтать
;プレゼント;подарок
文化;ぶんか;культура
文学;ぶんがく;литература
文法;ぶんぽう;грамматика
別に;べつに;особенно, отдельно, кроме
;ベル;звонок
変;へん;странный, неприличный
返事（する）;へんじ;ответ
貿易;ぼうえき;внешняя торговля
放送;ほうそう;вещание, передача
法律;ほうりつ;юридический закон, законный
僕;ぼく;я
星;ほし;звезда
程;ほど;мера, степень, настолько…
殆ど;ほとんど;почти
褒める;ほめる;хвалить, одобрять
翻訳;ほんやく;письменный перевод
参る;まいる;идти, сдаваться, посещать (храм)
負ける;まける;проигрывать, поддаваться, уступать
真面目;まじめ;серьезный
先ず;まず;прежде всего, в целом
又は;または;или же, либо
間違える;まちがえる;ошибаться, перепутать
間に合う;まにあう;успеть, годиться
;~まま;так, как есть
回り・周り;まわり;окрестности, окружность, вращение
回る・周る;まわる;вертеться, вращаться, объезжать
漫画;まんが;комикс, карикатура
真ん中;まんなか;центр, середина
見える;みえる;виднеться, выглядеть
湖;みずうみ;озеро
味噌(汁);みそ(しる);мисо (паста из соевых бобов)
見付かる;みつかる;быть замеченным, найденным, попасться
見付ける;みつける;обнаруживать
緑;みどり;зелень, растительность
皆;みな;все, всё
港;みなと;порт, гавань
迎える;むかえる;встречать, выходить навстречу
昔;むかし;старина, прошлое
虫;むし;насекомое
息子;むすこ;сын
娘;むすめ;дочь, девушка
村;むら;деревня
無理;むり;невозможно, нельзя, необоснованность
~目;め;сч. суф. порядковых числительных
召し上がる;めしあがる;кушать, пить (вежл. о 2-3 лице)
珍しい;めずらしい;редкий, необычный, оригинальный
