#name=My Vocab TORFL A1
#description=My TORFL
RU;JP
он;<彼|かれ>
она;<彼女|かのじょ>
оно;これ・それ・あれ
они;<彼ら|かれら>
опаздывать;<遅れる|おくれる>
опоздать;<遅れて来る|おくれてくる>
осень;<秋|あき>
осенью;<秋に|あきに>
остановка;<乗り場|のりば>
ответ;<答え|こたえ>
ответить;<答える|こたえる>
отдыхать;<休む|やすむ>
отец;<お父さん|おとおさん>
открыть;<開ける|あける>
открытка;<葉書|はがき>
отлично;<立派に|りっぱに>
откуда;どこから
отчество;ミドルネーム
очень;とても
ошибка;<間違い|まちがい>
пальто;コート
папа;ちち
парк;<公園|こうえん>
паспорт;パスポート
первый;<一番|いちばん>
переводчик;<翻訳者|ほんやくしゃ>
передача (радио, теле);<番組|ばんぐみ>
перерыв;<中断|ちゅうだん>
песня;<歌|うた>
писать;<書く|かく>
письмо;<手紙|てがみ>
плохо;<悪く|わるく>
плохой;<悪い|わるい>
площадь;<面積|めんせき>
по-английски;<英語で|えいごで>
повторить;<繰り返して来る|くりかえしてくる>
повторять;<繰り返す|くりかえす>
погода;<天気|てんき>
подарить;<贈る|おくる>
подарок;<贈り物|おくりもの>
подруга;<彼女|かのじょ>
поезд;<汽車|きしゃ>
поехать;<行く|いく>
пожалуйста;<下さい|ください>
позавтракать;<朝御飯を食べる|あさごはんをたべる>
позвонить;<電話する|でんわする>
поздно;<遅く|おそく>
познакомиться;<知り合う|しりあう>
пойти;<行く|いく>
показать;<見せる|みせる>
покупать;<買う|かう>
поликлиника;<病院|びょういん>
понедельник;<月曜日|げつようび>
понимать;<分かる|わかる>
понятно;<分かりやすく|わかりやすく>
пообедать;<昼御飯を食べる|ひるごはんをたべる>
по-русски;<ロシア語で|ロシアごで>
посмотреть;<見る|みる>
потом;<後で|あとで>
потому что;…なぜならば
поужинать;<晩御飯を食べる|ばんごはんをたべる>
почему;どうして・なぜ・なんで
почта;<郵便|ゆうびん>
поэтому;だから
правильно;<正しく|ただしく>
праздник;<祭り|まつり>
предложение;<申し込み|もうしこみ>
предмет;<物|もの>
преподаватель;<教師|きょうし>
приготовить;<作る|つくる>
приехать;<来る|くる>
прийти;<来る|くる>
приятно (очень приятно);<気持ちがよい|きもちがよい>
пропуск;パス
проспект;<大通り|おおどうり>
прочитать;<読む|よむ>
пятнадцатый;<第１５|だいじゅうご>
пятнадцать;<１５|じゅうご>
пятница;<金曜日|きんようび>
пятый;<第５|だいご>
пять;<５|ご>・<５つ|いつつ>
пятьдесят;<５０|ごじゅう>
пятьсот;<５００|ごひゃく>
работа;<仕事|しごと>
работать;<働く|はたらく>
рад;<嬉しい|うれしい>
радио;ラジオ
раз;<度|ど>・<回|かい>
рано;<早く|はやく>
раньше;<以前に|いぜんに>
рассказ;<短編小説|たんぺんしょうせつ>
ребёнок;<子供|こども>
река;<川|かわ>
решать;<決める|きめる>
решить;<汲める|きめる>
рисовать;<描く|かく>
родина;<祖国|そこく>
родители;<両親|りょうしん>
родной;<血を分けた|ちをわけた>・<親しい|したしい>
рождение (день рождения);<誕生|たんじょう>
рубашка;シャツ
рубль;ルーブル
русский;<ロシア語|ロシアご>・ロシアの・<ロシア人|ロシアじん> (男)
русско-английский;<ロシア語ー英語|ロシアごーえいご>
ручка;ボルペン
рыба;<魚|さかな>
с(со);…と・…とともに
сахар;<砂糖|さとう>
свободный (свободное время);<暇|ひま>
сделать;<作る|つくる>
сегодня;<今日|きょう>
седьмой;<第７|だいしち>
сейчас;<今|いま>
секунда;<秒|びょう>
семнадцатый;<第１７|だいじゅうしち>
семнадцать;<１７|じゅうしち>
семь;<７|しち>・<７つ|ななつ>
семьдесят;<７０|しちじゅう>
семьсот;<７００|しちひゃく>
семья;<家族|かぞく>
сентябрь;<９月|くがつ>
сестра;<姉|あね>・<妹|いもうと>
сказать;<言う|いう>
сколько;いくつ
словарь;<辞書|じしょ>・<辞典|じてん>
слово;<言葉|ことば>
слог;<音節|おんせつ>
слушать;<聞く|きく>
смотреть;<見る|みる>
сначала;<先ず|まず>
снег;<雪|ゆき>
собака;<犬|いぬ>
сок;ジュース
солнце;<太陽|たいよう>
соль;<塩|しお>
сорок;<４０|よんじゅう>
спасибо;ありがとうございます
спорт;スポーツ
спортсмен;スポーツマン (男)
спросить;<聞く|きく>
среда;<水曜日|すいようび>
стадион;スタジアム
станция;<駅|えき>
старый;<古い|ふるい>
статья;<記事|きじ>
стихи;<詩|し>
сто;<１００|ひゃく>
стоить;コスト
стол;<机|つくえ>
столица;<首都|しゅと>
столовая;<食堂|しょくどう>
страна;<国|くに>
страница;ページ
студент;<大学生|だいがくせい>（男）
студентка;<大学生|だいがくせい>（女）
студенческий;<大学生の|だいがくせいの>
стул;<椅子|いす>
суббота;<土曜日|どようび>
сумка;<鞄|かばん>
суп;スープ
сын;<息子|むすこ>
сыр;チーズ
сюда;こっち
так;こんなに
такси;タクシー
там;あそこ
танцевать;<踊る|おどる>
твой;あなたの
театр;<劇場|げきじょう>
текст;テキスト
телевизор;テレビ
телепередача;<番組|ばんぐみ>
телефон;<電話|でんわ>
температура;<温度|おんど>
тепло;<暖かさ|暖かさ>・<暖かく|暖かく>
тёплый;<暖かい|あたたかい>
тетрадь;<帳面|ちょうめん>
тихо;<静かに|しずかに>
тоже;…も
только;だけ
торт;ケーキ
точка;<点|てん>
трамвай;<路面電車|ろめんでんしゃ>
третий;<第３|だいさん>
три;<３|さん>・<３つ|みっつ>
тридцать;<３０|さんじゅう>
тринадцатый;<第１３|だいじゅう>
тринадцать;<１３|じゅうさん>
триста;<３００|さんびゃく>
троллейбус;トロリーバス　
трудный;<難しい|むずかしい>
тут;ここで
ты;あなた
тысяча;<１０００|せん>
у;そばに
ударение;アクセント
уже;もう
ужин;<夕食|ゆうしょく>
ужинать;<夕食を食べる|ゆうしょくをたべる>
улица;<道|みち>
уметь;できる
университет;<大学|だいがく>
упражнение;<練習|れんしゅう>・<運動|うんどう>
урок;<授業|じゅぎょう>
утро;<朝|あさ>
утром;<朝に|あさに>
учебник;<教科書|きょうかしょ>
учитель;<先生|せんせい>（男）・<教師|きょうし>（男）
учительница;<先生|せんせい>（女）・<教師|きょうし>（女）
учить;<教える|おしえる>
учиться;<勉強する|べんきょうする>・<習う|ならう>
факультет;<学部|がくぶ>
фамилия;<名字|みょうじ>
февраль;<２月|にがつ>
физик;<物理学者|ぶつりがくしゃ>
физика;<物理学|ぶつりがく>
фильм;<映画|えいが>
