#name=My Vocab N5
#description=My JLPT N5
JP;JP_KANA;RU
〜日;にち;суф. названий месяцев
日曜日;にちようび;воскресенье
荷物;にもつ;багаж, груз
;ニュース;новости
庭;にわ;сад, двор
〜人;にん;сч. суф. для людей
脱ぐ;ぬぐ;снимать одежду
温い;ぬるい;слегка теплый
;ネクタイ;галстук
猫;ねこ;кошка
寝る;ねる;ложиться спать, засыпать, спать
〜年;ねん;…год
;ノート;записная книжка, записи
登る;のぼる;подниматься, взбираться
飲み物;のみもの;напиток
飲む;のむ;пить
乗る;のる;ехать в транспорте
歯;は;зуб
;パーティー;вечеринка
;はい;да
〜杯;はい・ぱい;сч. суф. выпитых чашек, рюмок
灰皿;はいざら;пепельница
入る;はいる;входить
葉書;はがき;открытка
;はく;надевать на ноги
箱;はこ;ящик, коробка
橋;はし;мост
箸;はし;палочки для еды
始まる;はじまる;начинаться
始め・初め;はじめ;начало
初めて;はじめて;впервые
始めまして;はじめまして;фраза для представления себя (знакомство)
走る;はしる;бежать, ехать (о машине)
;バス;автобус
;バター;сливочное масло
二十歳;はたち;20 лет
働く;はたらく;работать
八;はち;восемь
二十日;はつか;20-е число, 20-ть дней
花;はな;цветок
鼻;はな;нос
話;はなし;беседа, разговор
話す;はなす;говорить
母;はは;мама
早い;はやい;ранний
速い;はやい;быстрый
春;はる;весна
貼る;はる;наклеивать
晴れ;はれ;ясная погода
晴れる;はれる;проясняться, рассеиваться
〜半;はん;половина
晩;ばん;вечер
〜番;ばん;порядковый номер, очередь
;パン;хлеб
;ハンカチ;носовой платок
番号;ばんごう;порядковый номер
晩御飯;ばんごはん;ужин
半分;はんぶん;половина, полминуты
東;ひがし;восток
〜匹;ひき;сч. суф. для мелких животных
引く;ひく;тянуть, тащить
弾く;ひく;играть на муз. инструментах
低い;ひくい;низкий
飛行機;ひこうき;самолет
左;ひだり;левый, слева, налево
人;ひと;человек
一つ;ひとつ;один
一月;ひとつき;один месяц
一人;ひとり;один человек
暇;ひま;свободное время
百;ひゃく;сотня
病院;びょういん;больница
病気;びょうき;болезнь
平仮名;ひらがな;хирагана
昼;ひる;дневное время, середина дня
昼御飯;ひるごはん;обед
広い;ひろい;широкий, просторный
;フィルム;пленка
封筒;ふうとう;конверт
;プール;бассейн
;フォーク;вилка
吹く;ふく;дуть, выдувать
服;ふく;одежда
二つ;ふたつ;два
豚肉;ぶたにく;свинина
二人;ふたり;двое людей
二日;ふつか;второе число, два дня
太い;ふとい;толстый, жирный
冬;ふゆ;зима
降る;ふる;идти (об осадках)
古い;ふるい;старый (не о людях)
風呂;ふろ;японская баня, ванна
〜分;ふん;минута
;ページ;страница
下手;へた;неумелый
;ベッド;кровать
部屋;へや;комната
辺;へん;район, местность, окрестности
;ペン;ручка
勉強;べんきょう;занятие, учение
便利;べんり;удобство
方;ほう;сторона, направление
帽子;ぼうし;шляпа
;ボールペン;шариковая ручка
外;ほか;другой
;ポケット;карман
欲しい;ほしい;желанный, хотеть
細い;ほそい;тонкий, узкий
;ボタン;кнопка
;ホテル;гостиница, отель
本;ほん;книга
〜本;ほん;сч. суф. для продолговатых предметов
本棚;ほんだな;книжная полка
本当;ほんとう;правда
毎…;まい;каждый (день, месяц, год)
〜枚;まい;сч. суф. для плоских предметов
毎朝;まいあさ;каждое утро
毎月;まいげつ・まいつき;каждый месяц
毎週;まいしゅう;каждую неделю
毎日;まいにち;каждый день
毎年;まいねん;каждый год
毎晩;まいばん;каждый вечер
前;まえ;перед, впереди
〜前;まえ;…тому назад
曲がる;まがる;гнуться, сгибаться, поворачивать
不味い;まずい;невкусный, неумелый, непривлекательный
又;また;опять, снова, к тому же
未だ;まだ;все еще, пока… , еще не
町;まち;город
待つ;まつ;ждать
;まっすぐ;прямо, не сворачивая
;マッチ;спички, подходить, матч
窓;まど;окно
丸い・円い;まるい;круглый
万;まん;десять тысяч
万年筆;まんねんひつ;авторучка
磨く;みがく;чистить, полировать, чистить
右;みぎ;правый, справа, направо
短い;みじかい;короткий
水;みず;вода
店;みせ;магазин
見せる;みせる;показывать
道;みち;дорога, путь, улица
三日;みっか;третье число, три дня
三つ;みっつ;три
皆さん;みなさん;все (собравшиеся), Господа!
南;みなみ;юг
耳;みみ;ухо
見る;みる;смотреть
皆;みんな;все, все присутствующие (разг.)
六日;むいか;шестое число, шесть дней
向こう;むこう;та сторона (там)
難しい;むずかしい;трудный
六つ;むっつ;шесть
目;め;глаз
;メートル;метр
眼鏡;めがね;очки
;もう;уже
もう一度;もういちど;еще раз, снова
木曜日;もくようび;четверг
;もしもし;алло
勿論;もちろん;конечно
持つ;もつ;держать, иметь, обладать
;もっと;еще (больше)
物;もの;вещь
門;もん;ворота
問題;もんだい;проблема, вопрос
〜屋;や;суф. профессии, заведения, лавки
八百屋;やおや;овощной магазин
野菜;やさい;овощи
易しい;やさしい;легкий, простой
安い;やすい;дешевый, спокойный
休み;やすみ;отдых, каникулы, перерыв
休む;やすむ;отдыхать, пропускать
八つ;やっつ;восемь
山;やま;гора
遣る;やる;делать
夕方;ゆうがた;вечер, сумерки
郵便局;ゆうびんきょく;почтовое отделение
昨夜;ゆうべ;вчера вечером
有名;ゆうめい;известный, знаменитый
雪;ゆき;снег
;ゆっくりと;медленно, не спеша, потихоньку
八日;ようか;восемь дней, восьмое число
洋服;ようふく;западная одежда
;よく;часто
横;よこ;бок, боковая сторона, ширина
四日;よっか;четвертое число, четыре дня
四つ;よっつ;четыре
呼ぶ;よぶ;звать, приглашать
読む;よむ;читать
夜;よる;ночь, вечер
来月;らいげつ;следующий месяц
来週;らいしゅう;следующая неделя
来年;らいねん;следующий год
;ラジオ;радио
立派;りっぱ;прекрасный, превосходный, выдающийся
留学生;りゅうがくせい;иностранный студент
両親;りょうしん;родители
料理;りょうり;кушанье, еда, какая-то кухня
旅行;りょこう;путешествие, поездка
零;れい;ноль
冷蔵庫;れいぞうこ;холодильник
;レコード;рекорд, запись
;レストラン;ресторан
練習;れんしゅう;упражнения, тренировка
六;ろく;шесть
;ワイシャツ;мужская рубашка
若い;わかい;молодой
分かる;わかる;понимать, быть понятным
忘れる;わすれる;забывать
私;わたし・わたくし;я (нейтрально и официально)
渡す;わたす;переправлять, перевозить, вручать
渡る;わたる;переходить, переправляться, пересекать
悪い;わるい;плохой, виноватый
